i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1,Serr,A01,NUT21,D14,2/27/2018 5:26 PM,3/01/2018 15:23,17:52:35,64355,7.3,5723,1/03/2018,9700,yes
2,Serr,A02,NUT21,D14,2/27/2018 5:26 PM,3/01/2018 15:28,17:46:24,63984,6.6,5723,1/03/2018,9700,yes
3,Serr,A03,NUT21,D15,3/01/2018 16:40,3/01/2018 16:40,26:48:05,96485,20.4,5353,1/03/2018,9820,no
4,Serr,A04,NUT21,D15,3/01/2018 16:46,3/01/2018 16:46,26:54:33,96873,17.7,5353,1/03/2018,9820,no
5,Serr,A05,NUT21,D15,2/27/2018 5:32 PM,3/01/2018 16:49,17:52:35,64355,6.8,5353,1/03/2018,9820,yes
6,Serr,A06,NUT21,D15,2/27/2018 5:33 PM,3/01/2018 17:35,17:52:35,64355,7.6,5033,1/03/2018,9950,yes
7,Serr,A07,NUT21,D15,2/27/2018 5:33 PM,3/01/2018 17:41,17:52:11,64331,7.5,5033,1/03/2018,9950,yes
8,Serr,A08,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 7:56,19:08:27,68907,3.5,5500,2/03/2018,8990,yes
9,Serr,A09,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 8:01,38:20:40,138040,3.2,5500,2/03/2018,8990,yes
10,Serr,A10,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 8:04,40:50:05,147005,6.2,5500,2/03/2018,8990,yes
11,Serr,A11,NUT21,H4,2/27/2018 5:42 PM,3/02/2018 8:58,38:45:22,139522,7.5,5500,2/03/2018,8990,yes
12,Serr,B01,NUT21,D15,2/27/2018 6:28 PM,3/04/2018 15:13,61:07:15,220035,3.1,5535,4/03/2018,9720,yes
13,Serr,B02,NUT21,D14,2/27/2018 6:53 PM,3/04/2018 15:19,37:16:52,134212,3.1,5535,4/03/2018,9720,yes
14,Serr,A12,NUT21,D14,3/03/2018 1:12,3/03/2018 1:26,100:14:16,360856,2.6,5535,4/03/2018,9720,yes
15,Serr,B03,NUT21,D16,2/28/2018 8:57 AM,3/02/2018 9:38,40:35:46,146146,7.4,3505,2/03/2018,8500,yes
16,Serr,B04,NUT21,D16,2/28/2018 9:44 AM,3/02/2018 9:38,40:19:04,145144,7.5,3505,2/03/2018,8500,yes
17,Serr,B05,NUT21,D16,2/28/2018 2:23 PM,3/02/2018 10:19,43:56:17,158177,8.1,2855,2/03/2018,8560,yes
18,Serr,B06,NUT21,D16,2/28/2018 2:23 PM,3/02/2018 10:19,43:55:59,158159,8.7,2855,2/03/2018,8560,yes
19,Serr,B07,NUT21,D16,2/28/2018 3:09 PM,3/02/2018 11:03,1:11:55,4315,2.6,5555,2/03/2018,9870,yes
20,Serr,B08,NUT21,D17,2/28/2018 3:34 PM,3/02/2018 11:03,37:33:27,135207,7.7,5555,2/03/2018,9870,yes
21,Serr,B09,NUT21,D17,2/28/2018 3:35 PM,3/02/2018 11:03,35:42:51,128571,7.3,5555,2/03/2018,9870,yes
22,Serr,B10,NUT21,D17,2/28/2018 3:36 PM,3/02/2018 11:03,37:28:29,134909,7.7,5555,2/03/2018,9870,yes
23,Serr,B11,NUT21,D17,2/28/2018 5:10 PM,3/02/2018 12:01,35:19:08,127148,2.7,3558,2/03/2018,8630,yes
24,Serr,B12,NUT21,D17,2/28/2018 5:10 PM,3/02/2018 12:04,35:16:22,126982,7.9,3558,2/03/2018,8630,yes
25,Serr,C01,NUT21,D17,2/28/2018 5:11 PM,3/02/2018 13:26,43:44:07,157447,6.9,3385,2/03/2018,7860,yes
26,Serr,C09,NUT21,D17,3/02/2018 12:58,3/02/2018 13:36,0:05:16,316,99.9,3385,2/03/2018,7860,no
27,Serr,C02,NUT21,H3,2/28/2018 5:31 PM,3/02/2018 12:08,35:56:14,129374,7.7,3558,2/03/2018,8630,yes
28,Serr,C03,NUT21,H3,2/28/2018 6:13 PM,3/02/2018 12:46,37:00:18,133218,3.2,2255,2/03/2018,8850,yes
29,Serr,C04,NUT21,H3,2/28/2018 6:13 PM,3/02/2018 12:52,36:02:03,129723,7.6,2255,2/03/2018,8850,yes
30,Serr,C05,NUT21,H3,2/28/2018 7:07 PM,3/02/2018 4:17,33:10:04,119404,2.5,3385,2/03/2018,7860,yes
31,Serr,C10,NUT21,D18 and E15,2/28/2018 7:21 PM,3/02/2018 13:35,42:13:53,152033,2.7,3385,2/03/2018,7860,yes
32,Serr,C06,NUT21,D16,3/04/2018 15:57,3/04/2018 15:58,10:40:19,38419,5.6,3573,4/03/2018,7620,yes
33,Serr,C11,NUT21,D16,2/28/2018 7:26 PM,3/04/2018 16:10,92:21:09,332469,5.6,3573,4/03/2018,7620,yes
34,Serr,C07,NUT21,D17,2/28/2018 7:34 PM,3/04/2018 15:57,68:51:33,247893,3.7,3573,4/03/2018,7620,yes
35,Serr,C12,NUT21,D17,2/28/2018 7:47 PM,,,0,,,,,no
36,Ashley,D01,NUT22,E14,3/01/2018 14:24,3/05/2018 8:20,53:48:45,193725,4.9,2353,5/03/2018,8690,yes
37,Ashley,D02,NUT22,E14,3/04/2018 10:51,3/04/2018 10:54,0:02:10,130,2.6,2353,5/03/2018,8690,yes
38,Ashley,D03,NUT22,E14,3/01/2018 14:25,3/05/2018 8:29,47:31:48,171108,4.2,2528,5/03/2018,8660,yes
39,Ashley,D04,NUT22,E14,3/05/2018 8:59,3/05/2018 9:00,0:00:28,28,99.9,2528,5/03/2018,8660,no
40,Ashley,D05,NUT22,E14,3/01/2018 14:25,3/05/2018 9:00,48:29:12,174552,5.1,2528,5/03/2018,8660,yes
41,Ashley,D06,NUT22,E14,3/01/2018 14:25,3/05/2018 10:43,47:09:53,169793,4.6,5555,5/03/2018,9650,yes
42,Ashley,D07,NUT22,E14,3/01/2018 15:02,3/02/2018 18:00,65:50:44,237044,2.6,5555,5/03/2018,9650,yes
43,Ashley,D09,NUT22,E13,3/01/2018 14:36,3/05/2018 11:44,49:31:32,178292,6.4,2932,5/03/2018,8290,yes
44,Ashley,E01,NUT22,E13,3/01/2018 14:37,3/05/2018 13:13,59:44:27,215067,3.1,2855,5/03/2018,7370,yes
45,Ashley,D08,NUT22,E13,3/01/2018 15:04,3/05/2018 10:52,48:24:28,174268,5,5555,5/03/2018,9650,yes
46,Ashley,D10,NUT22,E13,3/01/2018 15:05,3/05/2018 11:48,46:37:21,167841,4.4,2932,5/03/2018,8290,yes
47,Ashley,D11,NUT22,E13,3/01/2018 15:05,3/05/2018 11:52,46:05:29,165929,6,2932,5/03/2018,8290,yes
48,Ashley,D12,NUT22,E13,3/01/2018 15:05,3/05/2018 11:56,46:13:20,166400,5.2,2932,5/03/2018,8290,yes
49,Ashley,E02,NUT22,E13,3/01/2018 16:02,3/05/2018 13:19,52:59:42,190782,7.1,2855,5/03/2018,7370,yes
50,Ashley,E03,NUT22,E13,3/03/2018 6:42,3/03/2018 6:52,61:22:37,220957,2.5,5595,6/03/2018,1990,yes
51,Serr,C12,NUT21,H3,3/01/2018 16:31,3/04/2018 16:02,28:31:18,102678,3.4,3573,4/03/2018,7620,yes
52,Serr,E04,NUT21,D18 and E15,3/01/2018 16:52,3/04/2018 9:50,46:04:18,165858,6.3,5353,4/03/2018,10640,yes
53,Serr,E05,NUT21,D18 and E15,3/01/2018 17:03,3/04/2018 9:57,45:57:17,165437,5.9,5353,4/03/2018,10640,yes
54,Serr,E06,NUT21,D18 and E15,3/04/2018 10:34,3/04/2018 10:35,,0,4.7,3528,4/03/2018,8950,yes
55,Serr,E07,NUT21,D18 and E15,3/01/2018 18:10,3/04/2018 10:36,43:29:30,156570,6.2,3528,4/03/2018,8950,yes
56,Serr,E08,NUT21,D18 and E15,3/01/2018 18:10,3/04/2018 10:41,44:36:13,160573,6.4,2232,4/03/2018,9260,yes
57,Serr,E09,NUT21,D18 and E15,3/01/2018 18:50,3/04/2018 11:09,45:31:29,163889,7.6,2232,4/03/2018,9260,yes
58,Serr,E10,NUT21,D18 and E15,3/01/2018 18:50,3/04/2018 11:11,44:56:36,161796,6.9,2232,4/03/2018,9260,yes
59,Serr,E11,NUT21,D18 and E15,3/01/2018 18:52,3/04/2018 11:14,44:19:07,159547,7.2,2232,4/03/2018,9260,yes
60,Serr,E12,NUT21,D18 and E15,3/01/2018 19:08,3/04/2018 11:18,43:39:59,157199,6.6,5555,4/03/2018,10520,yes
61,Serr,F01,NUT21,D18 and E15,3/01/2018 19:23,3/04/2018 8:07,26:16:35,94595,4.5,3572,4/03/2018,8880,yes
62,Serr,F10,NUT21,D18 and E15,3/01/2018 20:02,3/05/2018 13:49,73:58:47,266327,3,3557,5/03/2018,7188,yes
63,Serr,F09,NUT21,D18 and E15,3/01/2018 20:05,3/05/2018 13:44,73:58:47,266327,3.7,3557,5/03/2018,7188,yes
64,Serr,A01,NUT21,D19 and E15,3/02/2018 10:02,3/04/2018 11:56,33:43:14,121394,7.8,5555,4/03/2018,10520,yes
65,Serr,A02,NUT21,D19 and E15,3/02/2018 10:02,3/04/2018 12:02,31:36:52,113812,3.1,5555,4/03/2018,10520,yes
66,Serr,A03,NUT21,D19 and E15,3/04/2018 13:01,3/04/2018 13:02,,0,3.1,3320,4/03/2018,9120,yes
67,Serr,A04,NUT21,D19 and E15,3/02/2018 11:38,3/04/2018 13:03,30:12:49,108769,7.5,3320,4/03/2018,9120,yes
68,Serr,A05,NUT21,D20,3/04/2018 13:31,3/04/2018 13:32,,0,2.5,5595,4/03/2018,8840,yes
69,Serr,A06,NUT21,D20,3/02/2018 11:44,3/04/2018 13:41,34:30:55,124255,7.7,5595,4/03/2018,8840,yes
70,Serr,A07,NUT21,D20,3/02/2018 11:46,3/04/2018 13:47,35:32:05,127925,3.2,2355,4/03/2018,8860,yes
71,Tehama,J1,61016,1711 SEARLES,3/02/2018 12:13,,,0,,,,,no
72,Tehama,I7,61016,1711 SEARLES,3/02/2018 12:13,,,0,,,,,no
73,Tehama,H6,61016,1711 SEARLES,3/02/2018 12:14,,,0,,,,,no
74,Tehama,G6,61016,1711 SEARLES,3/02/2018 12:14,,,0,,,,,no
75,Serr,A08,NUT21,D20,3/04/2018 14:15,3/04/2018 14:16,0:00:28,28,99.9,2355,4/03/2018,8860,no
76,Serr,A09,NUT21,D20,3/02/2018 13:56,3/04/2018 14:16,32:16:14,116174,3.8,2355,4/03/2018,8860,yes
77,Serr,A10,NUT21,D20,3/02/2018 13:56,3/04/2018 14:39,36:01:12,129672,3.3,3557,4/03/2018,3790,yes
78,Serr,A11,NUT21,D20,3/02/2018 13:57,3/04/2018 14:42,31:12:49,112369,7.4,3557,4/03/2018,3790,yes
79,Serr,F02,NUT21,D21,3/02/2018 14:22,3/04/2018 8:13,31:27:17,113237,7.2,3572,4/03/2018,8880,yes
80,Serr,F03,NUT21,D21,3/02/2018 14:23,3/04/2018 8:41,30:34:04,110044,3,5033,4/03/2018,10502,yes
81,Serr,J4,NUT21,D21,3/02/2018 14:27,,,0,,,,,no
82,Serr,J6,NUT21,D21,3/02/2018 14:28,,,0,,,,,no
83,Serr,F04,NUT21,D21,3/02/2018 17:47,3/04/2018 8:46,28:05:50,101150,2.8,5033,4/03/2018,10502,yes
84,Serr,F05,NUT21,D22,3/02/2018 17:48,3/04/2018 8:50,27:43:13,99793,7,5033,4/03/2018,10502,yes
85,Serr,F06,NUT21,D22,3/02/2018 17:48,3/04/2018 9:19,28:01:30,100890,7.9,2573,4/03/2018,9130,yes
86,Serr,F07,NUT21,D22,3/02/2018 17:48,3/04/2018 9:23,28:06:50,101210,7.2,2573,4/03/2018,9130,yes
87,Serr,F08,NUT21,D22,3/02/2018 18:33,3/04/2018 10:04,39:31:30,142290,7.2,5353,4/03/2018,10640,yes
88,Serr,C01,NUT21,D21,3/04/2018 15:30,3/04/2018 15:31,4:39:20,16760,11.8,5535,4/03/2018,9720,yes
89,Serr,F11,NUT21,D20,3/02/2018 19:59,3/05/2018 13:52,65:45:15,236715,4.8,3557,5/03/2018,7188,yes
90,Serr,F12,NUT21,D22,3/02/2018 19:59,3/05/2018 13:55,65:45:00,236700,4,3557,5/03/2018,7188,yes
91,Serr,C02,MPK21,1,3/04/2018 13:21,3/15/2018 9:02 AM,0:05:47,347,3.9,5355,15/03/2018,8485,yes
92,Serr,C03,MPK21,1,3/15/2018 9:48 AM,3/15/2018 9:49 AM,,0,9.8,5355,15/03/2018,8485,yes
93,Serr,C04,MPK21,1,3/15/2018 9:54 AM,3/15/2018 9:54 AM,0:00:28,28,13.4,2585,15/03/2018,9060,no
94,Serr,C05,MPK21,1,3/04/2018 15:45,3/15/2018 9:55 AM,31:47:14,114434,3.9,2585,15/03/2018,9060,yes
95,Serr,C06,MPK21,1,3/04/2018 17:04,3/15/2018 10:31 AM,25:12:49,90769,2.9,3895,15/03/2018,8970,yes
96,Serr,C07,MPK21,1,3/13/2018 6:01 AM,3/14/2018 1:33 AM,,0,2.6,3895,15/03/2018,8970,yes
97,Serr,C08,MPK21,1,3/15/2018 11:02 AM,3/15/2018 11:03 AM,,0,4.2,3335,15/03/2018,2380,yes
98,Serr,A01,MPK21,2,3/05/2018 11:53,3/15/2018 8:24 AM,43:41:08,157268,3.6,5575,15/03/2018,10420,yes
99,Serr,A02,MPK21,2,3/05/2018 11:53,3/15/2018 8:29 AM,25:10:23,90623,3.7,5575,15/03/2018,10420,yes
100,Serr,A03,MPK21,2,3/05/2018 11:53,3/15/2018 8:35 AM,24:58:14,89894,3.6,5355,16/03/2018,2085,yes
101,Serr,B01,NUT21,D22,3/05/2018 13:18,3/15/2018 1:07 PM,27:53:33,100413,3.3,2350,15/03/2018,8540,yes
102,Serr,B02,NUT21,I,3/05/2018 14:00,3/15/2018 1:12 PM,32:25:51,116751,3.2,2350,15/03/2018,8540,yes
103,Serr,B03,NUT21,D15,3/12/2018 14:30,3/13/2018 2:24 PM,64:44:55,233095,2.5,2535,15/03/2018,8900,yes
104,Ashley,B09,NUT22,E13,3/15/2018 4:03 PM,3/15/2018 4:04 PM,0:00:28,28,18.2,7577,15/03/2018,2490,no
105,Serr,B10,NUT21,D16,3/12/2018 14:33,3/15/2018 1:51 PM,9:05:13,32713,3.5,2535,15/03/2018,8900,yes
106,Serr,B11,NUT21,D16,3/15/2018 1:58 PM,3/15/2018 1:59 PM,0:00:28,28,51.4,2535,15/03/2018,8900,no
107,Serr,B12,NUT21,D17,3/12/2018 16:33,3/15/2018 1:59 PM,7:06:04,25564,4,2535,15/03/2018,8900,yes
108,Serr,A12,NUT21,D17,3/12/2018 16:36,3/15/2018 12:10 PM,38:39:07,139147,3.6,2393,15/03/2018,4140,yes
109,Ashley,A11,NUT22,E14,3/14/2018 3:19 AM,3/14/2018 3:20 AM,3:48:35,13715,2.6,7577,15/03/2018,2490,yes
110,Ashley,A10,NUT22,E14,3/12/2018 18:04,3/15/2018 4:15 PM,69:02:24,248544,2.6,7577,15/03/2018,2490,yes
111,Serr,A09,NUT21,D18 and E15,3/12/2018 19:18,3/15/2018 12:06 PM,13:01:39,46899,4.2,2393,15/03/2018,4140,yes
112,Serr,A08,NUT21,D18 and E15,3/12/2018 19:20,3/15/2018 12:20 PM,65:00:21,234021,4.2,2393,15/03/2018,4140,yes
113,Serr,A04,NUT21,D14,3/13/2018 12:34 PM,3/15/2018 11:28 AM,7:17:11,26231,3.5,3509,15/03/2018,9450,yes
114,Serr,A05,NUT21,D19 and E15,3/13/2018 12:49 PM,3/15/2018 11:32 AM,25:43:02,92582,2.7,3509,15/03/2018,9450,yes
115,Serr,A06,NUT21,D20,3/13/2018 2:30 PM,3/14/2018 3:37 PM,24:01:22,86482,2.5,2393,15/03/2018,4140,yes
116,Serr,A07,NUT21,D 21 - D 22 -  H 3,3/13/2018 4:50 PM,3/15/2018 12:01 PM,11:56:23,42983,3,2393,15/03/2018,4100,yes
117,Lara,B04,WT324,F,3/13/2018 5:37 PM,3/16/2018 2:29 PM,29:19:21,105561,6.3,3353,16/03/2018,7000,yes
118,Lara,B05,WT324,F,3/13/2018 5:56 PM,3/16/2018 2:34 PM,28:05:30,101130,5.4,3353,16/03/2018,7000,yes
119,Lara,C10,WT224,F,3/13/2018 7:52 PM,3/15/2018 3:12 PM,39:25:54,141954,7.7,3073,15/03/2018,6100,yes
120,Lara,C11,WT224,F,3/13/2018 7:52 PM,3/15/2018 3:16 PM,29:41:07,106867,2.9,3073,15/03/2018,6100,yes
121,Lara,C09,WT224,F,3/13/2018 8:19 PM,3/19/2018 12:02 PM,51:02:48,183768,2.4,3593,21/03/2018,1110,yes
122,Lara,C12,WT224,F,3/13/2018 8:14 PM,3/15/2018 3:18 PM,34:35:29,124529,7.6,3073,15/03/2018,6100,yes
123,Serr,B06,NUT21,H4 + I1,3/15/2018 1:51 PM,3/15/2018 1:52 PM,23:19:36,83976,4.5,2535,15/03/2018,8900,yes
124,Vina,D01,WAT17,B,3/14/2018 2:30 PM,3/15/2018 4:36 PM,26:03:39,93819,6.8,3555,15/03/2018,9590,yes
125,Vina,D02,WAT17,B,3/14/2018 2:30 PM,3/15/2018 4:43 PM,24:27:04,88024,7.5,3555,15/03/2018,9590,yes
126,Vina,D03,WAT17,B,3/14/2018 2:30 PM,3/15/2018 5:23 PM,23:06:55,83215,3.9,5238,16/03/2018,10320,yes
127,Vina,D09,WAT17,B,3/14/2018 3:07 PM,3/21/2018 3:43 PM,168:39:05,607145,2.6,2205,21/03/2018,1370,yes
128,Vina,D04,WAT17,B,3/14/2018 3:16 PM,3/15/2018 5:29 PM,22:46:57,82017,7.3,5238,16/03/2018,10320,yes
129,Vina,D05,WAT17,B,3/15/2018 2:51 PM,3/15/2018 2:52 PM,21:10:51,76251,2.5,5238,16/03/2018,10320,yes
130,Tulare,E01,NT317,A1 and A2,3/14/2018 5:17 PM,3/16/2018 11:02 AM,2:11:12,7872,3.4,3857,16/03/2018,7610,yes
131,Tulare,E02,NT317,A1 and A2,3/16/2018 8:29 AM,3/16/2018 8:29 AM,0:16:27,987,4.8,3555,16/03/2018,7430,yes
132,Tulare,E03,NT317,A1 and A2,3/14/2018 5:17 PM,3/16/2018 11:07 AM,2:57:47,10667,6.2,3857,16/03/2018,7610,yes
133,Tulare,E04,NT317,A1 and A2,3/14/2018 5:17 PM,3/16/2018 8:33 AM,0:24:56,1496,5.7,3555,16/03/2018,7430,yes
134,Tulare,E05,NT317,A1 and A2,3/14/2018 6:42 PM,3/16/2018 9:24 AM,0:28:37,1717,6.2,3093,16/03/2018,7440,yes
135,Tulare,E06,NT317,A1 and A2,3/14/2018 6:42 PM,3/16/2018 11:34 AM,3:03:08,10988,3,2072,16/03/2018,7630,yes
136,Tulare,E07,NT317,A1 and A2,3/14/2018 6:42 PM,3/16/2018 11:40 AM,3:03:34,11014,6.5,2072,16/03/2018,7630,yes
137,Tulare,E08,NT317,A1 and A2,3/14/2018 6:42 PM,3/16/2018 9:30 AM,1:22:51,4971,6.9,3093,16/03/2018,7440,yes
138,Tulare,E09,NT317,A1 and A2,3/14/2018 6:42 PM,3/16/2018 11:46 AM,3:31:42,12702,2.9,2072,16/03/2018,7630,yes
139,Tulare,E10,NT317,A1 and A2,3/14/2018 8:15 PM,3/16/2018 9:57 AM,1:26:34,5194,3.2,5082,16/03/2018,8890,yes
140,Tulare,E11,NT317,A1 and A2,3/16/2018 1:22 PM,3/16/2018 1:22 PM,2:09:53,7793,6.4,5520,16/03/2018,8780,yes
141,Tulare,E12,NT317,A1 and A2,3/14/2018 8:15 PM,3/16/2018 1:19 PM,2:09:53,7793,6.1,5520,16/03/2018,8780,yes
142,Tulare,D10,NT317,A1 and A2,3/14/2018 9:31 PM,3/21/2018 3:25 PM,2:29:53,8993,3.3,2352,21/03/2018,1680,yes
143,Tulare,F02,NT317,A1 and A2,3/15/2018 10:03 AM,3/16/2018 2:01 PM,6:00:56,21656,2.6,2352,16/03/2018,2470,yes
144,Tulare,F01,NT317,A1 and A2,3/16/2018 10:12 AM,3/16/2018 10:12 AM,,0,7.9,5082,16/03/2018,8890,yes
145,Tulare,F03,NT317,A1 and A2,3/16/2018 10:07 AM,3/16/2018 10:08 AM,1:27:25,5245,6.7,5082,16/03/2018,8890,yes
146,Tulare,F04,NT317,A1 and A2,3/16/2018 1:30 PM,3/16/2018 1:30 PM,5:12:56,18776,3.9,5520,16/03/2018,8780,yes
147,Tulare,F09,NT317,A1 and A2,3/15/2018 10:25 AM,3/16/2018 1:40 PM,26:13:35,94415,3.9,5520,16/03/2018,8780,yes
148,Vina,A01,NT217,D13 and C11,3/20/2018 12:20 AM,3/19/2018 11:53 PM,9:04:27,32667,22,2598,20/03/2018,9000,no
149,Vina,A02,NT217,D10 and C10,3/20/2018 12:41 AM,3/20/2018 12:04 AM,,0,12.9,2598,20/03/2018,9000,no
150,Vina,A03,NT217,D10 and C10,3/18/2018 11:05 AM,3/20/2018 1:36 AM,26:07:11,94031,7.3,2303,20/03/2018,8740,yes
151,Vina,A04,NT217,D11 and C11,3/20/2018 2:48 AM,3/20/2018 2:48 AM,38:37:00,139020,13.3,2303,20/03/2018,8740,no
152,Vina,A05,NT217,D11 and C11,3/18/2018 1:17 PM,3/20/2018 2:53 AM,4:08:48,14928,6.5,5529,20/03/2018,9100,yes
153,Vina,A06,NT217,D11 and C11,3/18/2018 1:52 PM,3/20/2018 3:33 AM,10:10:54,36654,6.2,5529,20/03/2018,9100,yes
154,Vina,A07,NT217,D11 and C11,3/18/2018 1:52 PM,3/20/2018 3:39 AM,29:03:47,104627,7.3,5529,20/03/2018,9100,yes
155,Vina,A08,NT217,D12 and C11,3/18/2018 3:45 PM,3/20/2018 4:08 AM,4:50:25,17425,6.8,2755,20/03/2018,9080,yes
156,Vina,A09,NT217,D12 and C11,3/18/2018 3:45 PM,3/20/2018 4:13 AM,0:04:06,246,7.4,2755,20/03/2018,9080,yes
157,Vina,A10,NT217,D12 and C11,3/18/2018 3:45 PM,3/20/2018 4:17 AM,5:10:39,18639,4.8,3358,20/03/2018,9340,yes
158,Vina,A11,NT217,D12 and C11,3/18/2018 3:45 PM,3/20/2018 11:41 AM,7:53:55,28435,5.3,2359,20/03/2018,2400,yes
159,Vina,A12,NT217,D12 and C11,3/18/2018 3:45 PM,3/20/2018 5:41 AM,6:24:35,23075,6.5,3358,20/03/2018,9340,yes
160,Vina,D01,NT217,D12 and C11,3/18/2018 4:51 PM,3/20/2018 5:52 AM,37:00:22,133222,6.6,3358,20/03/2018,9340,yes
161,Vina,D02,NT217,D12 and C11,3/18/2018 4:51 PM,3/20/2018 5:59 AM,9:09:56,32996,7.6,2233,20/03/2018,9450,yes
162,Vina,D03,NT217,D12 and C11,3/18/2018 5:43 PM,3/20/2018 6:37 AM,25:27:26,91646,7.9,2233,20/03/2018,9450,yes
163,Vina,D04,NT217,D12 and C11,3/18/2018 5:43 PM,3/20/2018 6:44 AM,9:19:49,33589,3.1,2233,20/03/2018,9450,yes
164,Vina,D05,NT217,D13 and C11,3/18/2018 6:55 PM,3/20/2018 8:55 AM,22:19:48,80388,7.8,2525,20/03/2018,9520,yes
165,Vina,D06,NT217,D13 and C11,3/18/2018 6:55 PM,3/20/2018 9:02 AM,7:53:55,28435,3.8,2525,20/03/2018,9520,yes
166,Vina,D07,NT217,D13 and C11,3/18/2018 7:35 PM,3/20/2018 9:28 AM,19:22:28,69748,7.3,3755,20/03/2018,8990,yes
167,Vina,D08,NT217,D13 and C11,3/18/2018 7:35 PM,3/20/2018 9:37 AM,10:12:08,36728,7.8,3755,20/03/2018,8990,yes
168,Vina,D11,NT217,D13 and C11,3/18/2018 8:11 PM,3/20/2018 10:01 AM,11:52:37,42757,3.7,3072,20/03/2018,9330,yes
169,Vina,D12,NT217,D13 and C11,3/18/2018 8:13 PM,3/20/2018 10:06 AM,35:00:48,126048,7.6,3072,20/03/2018,9330,yes
170,Vina,B01,NT217,D13 and C11,3/18/2018 11:21 PM,3/20/2018 10:12 AM,27:14:32,98072,7.5,3072,20/03/2018,9330,yes
171,Vina,B02,NT217,D13 and C11,3/18/2018 11:21 PM,3/20/2018 10:35 AM,24:28:32,88112,3.7,3553,20/03/2018,9520,yes
172,Vina,B03,NT217,D13 and C11,3/20/2018 10:48 AM,3/20/2018 10:49 AM,0:00:49,49,7.1,3553,20/03/2018,9520,yes
173,Vina,B04,NT217,D13 and C11,3/18/2018 11:23 PM,3/20/2018 11:08 AM,22:27:07,80827,2.6,2555,20/03/2018,9450,yes
174,Vina,B05,NT217,D10 and C10,3/18/2018 11:23 PM,3/20/2018 11:14 AM,23:10:53,83453,6.7,2555,20/03/2018,9450,yes
175,Vina,B06,NT217,D10 and C10,3/20/2018 5:38 AM,3/20/2018 5:55 AM,24:33:47,88427,2.5,2555,20/03/2018,9450,yes
176,Vina,C08,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 2:10 PM,2:03:04,7384,6.8,3995,21/03/2018,2330,yes
177,Vina,C10,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 2:06 PM,50:05:53,180353,7.8,2035,21/03/2018,8940,yes
178,Vina,C11,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 2:02 PM,50:05:57,180357,2.8,2035,21/03/2018,8940,yes
179,Vina,B07,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:13 PM,1:04:20,3860,4.1,5202,21/03/2018,10410,yes
180,Vina,B08,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:19 PM,1:03:54,3834,6.7,5202,21/03/2018,10410,yes
181,Vina,B09,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:24 PM,1:02:38,3758,6.2,5202,21/03/2018,10410,yes
182,Vina,B10,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:28 PM,50:47:14,182834,4.6,2035,21/03/2018,8940,yes
183,Vina,B11,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:56 PM,1:45:02,6302,7.8,2035,21/03/2018,8940,yes
184,Vina,B12,NT217,D10 C10 D11 D12 D13 C11,3/19/2018 10:39 AM,3/21/2018 1:59 PM,51:18:21,184701,6.6,2035,21/03/2018,8940,yes
185,Vina,C01,NT317,D10,3/20/2018 5:06 PM,3/20/2018 5:07 PM,0:00:26,26,46.9,3095,20/03/2018,9270,no
186,Vina,C02,NT317,D9,3/20/2018 5:33 PM,3/20/2018 5:33 PM,,0,2.7,3283,20/03/2018,8960,yes
187,Vina,C03,NT317,D9,3/19/2018 11:58 AM,3/20/2018 5:36 PM,23:54:19,86059,7.4,3283,20/03/2018,8960,yes
188,Vina,C04,NT317,D9,3/19/2018 12:19 PM,3/20/2018 6:02 PM,26:52:33,96753,3.7,5035,20/03/2018,9840,yes
189,Vina,C05,NT317,D9,3/19/2018 1:50 PM,3/21/2018 5:23 AM,29:07:08,104828,7.1,3353,21/03/2018,8760,yes
190,Vina,C06,NT317,D9,3/19/2018 1:51 PM,3/21/2018 5:24 PM,28:25:15,102315,2.7,3955,21/03/2018,8960,yes
191,Vina,C07,NT317,D9,3/19/2018 2:08 PM,3/20/2018 6:14 PM,23:50:48,85848,7.8,5035,20/03/2018,9840,yes
192,Vina,C12,NT317,D9,3/19/2018 2:42 PM,3/20/2018 6:15 PM,23:40:34,85234,7.6,5035,20/03/2018,9840,yes
193,Vina,E01,NT317,D8,3/19/2018 3:23 PM,3/20/2018 11:48 AM,18:11:25,65485,5.3,2359,20/03/2018,7200,yes
