i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1519,Chandler,D11,60117,18275 Freycinet West,5/04/2018 20:10,5/07/2018 16:30,7:29:32,26972,6.3,2753,7/05/2018,6250,yes
1520,Chandler,D12,60117,18275 Freycinet West,5/04/2018 20:10,5/08/2018 8:13,9:46:09,35169,5,2755,8/05/2018,7500,yes
1521,Chandler,A01,60117,18276 Freycinet West + 18277 Charlies,5/04/2018 20:10,5/07/2018 8:22,15:02:36,54156,5.4,3358,7/05/2018,7300,yes
1522,Chandler,A02,60117,18276 Freycinet West + 18277 Charlies,5/04/2018 20:10,5/07/2018 8:22,19:14:03,69243,6.3,3358,7/05/2018,7300,yes
1523,Chandler,A03,60117,18278 Charlies,5/04/2018 20:10,5/07/2018 8:47,14:04:17,50657,2.8,2753,7/05/2018,7370,yes
1524,Chandler,A04,60117,18278 Charlies,5/04/2018 20:10,5/07/2018 8:52,14:22:25,51745,6.4,2753,7/05/2018,7370,yes
1525,Chandler,A05,60117,18279 Charlies,5/04/2018 20:10,5/07/2018 8:57,14:42:29,52949,6,2252,7/05/2018,7400,yes
1526,Chandler,A06,60117,18279 Charlies,5/04/2018 20:10,5/07/2018 9:19,14:18:21,51501,6.2,2252,7/05/2018,7400,yes
1527,Chandler,A07,60117,18280 Charlies,5/07/2018 9:40,5/07/2018 9:41,,0,2.7,3750,7/05/2018,7340,yes
1528,Chandler,A08,60117,18280 Charlies,5/04/2018 20:11,5/07/2018 9:42,14:28:35,52115,6.4,3750,7/05/2018,7340,yes
1529,Chandler,A09,60117,18281 Charlies,5/04/2018 20:38,5/07/2018 9:47,13:10:05,47405,6.1,3750,7/05/2018,7340,yes
1530,Chandler,A10,60117,18281 Charlies,5/04/2018 20:38,5/07/2018 9:50,13:32:04,48724,6.2,3750,7/05/2018,7340,yes
1531,Chandler,A11,60117,18281 Charlies,5/04/2018 20:38,5/07/2018 10:03,13:38:32,49112,4.7,5529,7/05/2018,7350,yes
1532,Chandler,A12,60117,18281 Charlies,5/07/2018 10:08,5/07/2018 10:08,0:00:24,24,66.3,5529,7/05/2018,7350,no
1533,Chandler,B01,60117,18283 Charlies,5/04/2018 20:38,5/07/2018 10:09,12:12:14,43934,5.4,5529,7/05/2018,7350,yes
1534,Chandler,B02,60117,18283 Charlies,5/04/2018 20:38,5/07/2018 10:14,11:41:34,42094,4.7,3755,7/05/2018,7180,yes
1535,Chandler,B03,60117,18284 Charlies,5/04/2018 20:38,5/07/2018 10:49,21:21:43,76903,4.9,3755,7/05/2018,7180,yes
1536,Chandler,B04,60117,18284 Charlies,5/04/2018 20:38,5/07/2018 10:55,11:00:40,39640,3.9,2055,7/05/2018,7410,yes
1537,Chandler,B05,60117,18285 Charlies + 18286 Duncans,5/07/2018 11:17,5/07/2018 11:17,13:39:50,49190,5.8,2055,7/05/2018,7410,yes
1538,Chandler,B06,60117,18285 Charlies + 18286 Duncans,5/05/2018 19:34,5/07/2018 11:20,39:43:07,142987,5.6,3222,7/05/2018,7530,yes
1539,Chandler,B07,60117,18287 Duncas,5/05/2018 19:34,5/07/2018 11:47,10:56:18,39378,3.7,3222,7/05/2018,7530,yes
1540,Chandler,B08,60117,18287 Duncas,5/05/2018 19:34,5/07/2018 11:53,9:37:50,34670,4.2,3222,7/05/2018,7530,yes
1541,Chandler,B09,60117,18288 Duncas,5/05/2018 19:35,5/07/2018 12:10,12:13:34,44014,4.2,2598,7/05/2018,7690,yes
